CEP85
WASF2
HIAT1
PRMT6
CERS2
CRTC2
SFT2D2
TIMM17A
SUSD4
IRF2BP2
ARID4B
GNG4
KCNS3
MSH6
TMEM177
EFHD1
KIF9
WDR6
ARL6
CRYBG3
CRYBG3
MLF1
MAP3K13
HRASLS
ADD1
UNC5C
SRD5A1
MAN2A1
IP6K3
LRRC1
TPBG
FAXC
CNKSR3
SNX9
RABL5
LRRC61
MTUS1
NPM2
DOCK5
CHRAC1
TLE4
SEMA4D
PHF2
SLC44A1
KIAA1958
C9orf116
SIRT1
CHST3
USP54
ITPRIP
UROS
KNDC1
MPPED2
NUDT22
DPF2
FAM86C1
PCF11
NCAM1
JAM3
ADIPOR2
COPS7A
KANSL2
ATF7
WIBG
CTDSP2
CPM
LGR5
MRP63
SLAIN1
TEP1
HSPA2
TTC9
NEK9
CLMN
C14orf80
FSIP1
GPR176
NEO1
CRTC3
CACNG3
CES2
IST1
NDEL1
CASC3
CALCOCO2
ZNF652
SMARCD2
SYNGR2
PIEZO2
TPGS2
UQCR11
MPND
INSR
MAU2
PRR19
ZNF221
MAMSTR
CDH22
BACH1
PTTG1IP
ADARB1
SUN2
TOB2
SHROOM2
PHF8




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































